In,Out,Date,Time,Branch,Group
73,64,12/30/2024,2:00 PM,South Hill,SO Main
62,62,12/30/2024,2:00 PM,Shadle Park,SH East
46,40,12/30/2024,2:00 PM,Liberty Park,LP Main
36,32,12/30/2024,2:00 PM,Indian Trail,IT Main
34,37,12/30/2024,2:00 PM,Hillyard,HY North
133,186,12/30/2024,2:00 PM,Central,1st Floor Main Entrance
72,64,12/30/2024,1:00 PM,South Hill,SO Main
66,72,12/30/2024,1:00 PM,Shadle Park,SH East
21,25,12/30/2024,1:00 PM,Liberty Park,LP Main
26,26,12/30/2024,1:00 PM,Indian Trail,IT Main
18,11,12/30/2024,1:00 PM,Hillyard,HY North
157,151,12/30/2024,1:00 PM,Central,1st Floor Main Entrance
64,63,12/30/2024,12:00 PM,South Hill,SO Main
76,68,12/30/2024,12:00 PM,Shadle Park,SH East
24,36,12/30/2024,12:00 PM,Liberty Park,LP Main
24,21,12/30/2024,12:00 PM,Indian Trail,IT Main
17,29,12/30/2024,12:00 PM,Hillyard,HY North
148,169,12/30/2024,12:00 PM,Central,1st Floor Main Entrance
84,90,12/30/2024,11:00 AM,South Hill,SO Main
65,80,12/30/2024,11:00 AM,Shadle Park,SH East
45,39,12/30/2024,11:00 AM,Liberty Park,LP Main
21,36,12/30/2024,11:00 AM,Indian Trail,IT Main
15,12,12/30/2024,11:00 AM,Hillyard,HY North
144,148,12/30/2024,11:00 AM,Central,1st Floor Main Entrance
67,47,12/30/2024,10:00 AM,South Hill,SO Main
73,66,12/30/2024,10:00 AM,Shadle Park,SH East
28,27,12/30/2024,10:00 AM,Liberty Park,LP Main
34,26,12/30/2024,10:00 AM,Indian Trail,IT Main
21,14,12/30/2024,10:00 AM,Hillyard,HY North
136,125,12/30/2024,10:00 AM,Central,1st Floor Main Entrance
66,53,12/30/2024,9:00 AM,South Hill,SO Main
115,98,12/30/2024,9:00 AM,Shadle Park,SH East
20,5,12/30/2024,9:00 AM,Liberty Park,LP Main
27,8,12/30/2024,9:00 AM,Indian Trail,IT Main
6,5,12/30/2024,9:00 AM,Hillyard,HY North
167,98,12/30/2024,9:00 AM,Central,1st Floor Main Entrance
3,3,12/30/2024,8:00 AM,South Hill,SO Main
7,1,12/30/2024,8:00 AM,Shadle Park,SH East
4,9,12/30/2024,8:00 AM,Liberty Park,LP Main
1,0,12/30/2024,8:00 AM,Indian Trail,IT Main
11,16,12/30/2024,8:00 AM,Hillyard,HY North
13,19,12/30/2024,8:00 AM,Central,1st Floor Main Entrance
31,33,12/30/2024,7:00 AM,South Hill,SO Main
5,2,12/30/2024,7:00 AM,Liberty Park,LP Main
9,8,12/30/2024,7:00 AM,Hillyard,HY North
6,5,12/30/2024,7:00 AM,Central,Basement Entrance
35,4,12/30/2024,6:00 AM,South Hill,SO Main
1,1,12/30/2024,6:00 AM,Shadle Park,SH East
6,5,12/30/2024,6:00 AM,Indian Trail,IT Main
3,0,12/30/2024,6:00 AM,Hillyard,HY South
1,2,12/30/2024,6:00 AM,Central,Basement Entrance
2,2,12/30/2024,5:00 AM,Hillyard,HY South
19,23,12/30/2024,5:00 AM,Central,1st Floor NW Entrance
3,3,12/30/2024,4:00 AM,Central,1st Floor Main Entrance
3,10,12/29/2024,6:00 PM,Central,1st Floor Main Entrance
0,1,12/29/2024,4:00 PM,South Hill,SO Main
0,2,12/29/2024,4:00 PM,Shadle Park,SH East
0,1,12/29/2024,4:00 PM,Liberty Park,LP Main
0,2,12/29/2024,4:00 PM,Hillyard,HY North
10,35,12/29/2024,4:00 PM,Central,1st Floor Main Entrance
37,72,12/29/2024,3:00 PM,South Hill,SO Main
59,102,12/29/2024,3:00 PM,Shadle Park,SH East
24,51,12/29/2024,3:00 PM,Liberty Park,LP Main
43,53,12/29/2024,3:00 PM,Indian Trail,IT Main
10,51,12/29/2024,3:00 PM,Hillyard,HY North
95,199,12/29/2024,3:00 PM,Central,1st Floor Main Entrance
77,87,12/29/2024,2:00 PM,South Hill,SO Main
56,57,12/29/2024,2:00 PM,Shadle Park,SH East
13,25,12/29/2024,2:00 PM,Liberty Park,LP Main
24,31,12/29/2024,2:00 PM,Indian Trail,IT Main
10,8,12/29/2024,2:00 PM,Hillyard,HY North
125,113,12/29/2024,2:00 PM,Central,1st Floor Main Entrance
56,37,12/29/2024,1:00 PM,South Hill,SO Main
54,70,12/29/2024,1:00 PM,Shadle Park,SH East
42,22,12/29/2024,1:00 PM,Liberty Park,LP Main
39,18,12/29/2024,1:00 PM,Indian Trail,IT Main
31,19,12/29/2024,1:00 PM,Hillyard,HY North
98,93,12/29/2024,1:00 PM,Central,1st Floor Main Entrance
45,24,12/29/2024,12:00 PM,South Hill,SO Main
87,29,12/29/2024,12:00 PM,Shadle Park,SH East
36,23,12/29/2024,12:00 PM,Liberty Park,LP Main
19,13,12/29/2024,12:00 PM,Indian Trail,IT Main
32,12,12/29/2024,12:00 PM,Hillyard,HY North
157,73,12/29/2024,12:00 PM,Central,1st Floor Main Entrance
2,0,12/29/2024,11:00 AM,Liberty Park,LP Main
2,0,12/29/2024,11:00 AM,Hillyard,HY North
7,9,12/29/2024,11:00 AM,Central,1st Floor NW Entrance
2,2,12/29/2024,10:00 AM,Central,Basement Entrance
8,11,12/29/2024,8:00 AM,Liberty Park,LP Main
40,15,12/29/2024,5:00 AM,South Hill,SO Main
0,2,12/29/2024,5:00 AM,Hillyard,HY North
4,4,12/29/2024,4:00 AM,South Hill,SO Main
0,1,12/29/2024,3:00 AM,South Hill,SO Main
9,11,12/29/2024,3:00 AM,Hillyard,HY North
1,0,12/29/2024,2:00 AM,Hillyard,HY North
60,111,12/28/2024,8:00 PM,Shadle Park,SH East
50,102,12/28/2024,7:00 PM,Shadle Park,SH East
19,25,12/28/2024,6:00 PM,Shadle Park,SH East
2,1,12/28/2024,5:00 PM,South Hill,SO Main
90,66,12/28/2024,5:00 PM,Shadle Park,SH East
2,9,12/28/2024,5:00 PM,Liberty Park,LP Main
3,0,12/28/2024,5:00 PM,Indian Trail,IT Main
20,41,12/28/2024,5:00 PM,Central,1st Floor Main Entrance
22,57,12/28/2024,4:00 PM,South Hill,SO Main
125,112,12/28/2024,4:00 PM,Shadle Park,SH East
13,41,12/28/2024,4:00 PM,Liberty Park,LP Main
6,18,12/28/2024,4:00 PM,Indian Trail,IT Main
44,86,12/28/2024,4:00 PM,Hillyard,HY North
85,148,12/28/2024,4:00 PM,Central,1st Floor Main Entrance
65,56,12/28/2024,3:00 PM,South Hill,SO Main
88,106,12/28/2024,3:00 PM,Shadle Park,SH East
51,57,12/28/2024,3:00 PM,Liberty Park,LP Main
11,15,12/28/2024,3:00 PM,Indian Trail,IT Main
41,31,12/28/2024,3:00 PM,Hillyard,HY North
89,117,12/28/2024,3:00 PM,Central,1st Floor Main Entrance
51,40,12/28/2024,2:00 PM,South Hill,SO Main
129,108,12/28/2024,2:00 PM,Shadle Park,SH East
48,54,12/28/2024,2:00 PM,Liberty Park,LP Main
19,25,12/28/2024,2:00 PM,Indian Trail,IT Main
30,28,12/28/2024,2:00 PM,Hillyard,HY North
105,112,12/28/2024,2:00 PM,Central,1st Floor Main Entrance
85,44,12/28/2024,1:00 PM,South Hill,SO Main
104,55,12/28/2024,1:00 PM,Shadle Park,SH East
33,37,12/28/2024,1:00 PM,Liberty Park,LP Main
