In,Out,Date,Time,Branch,Group
0,4,5/3/2024,5:00 PM,Liberty Park,LP Main
4,10,5/3/2024,5:00 PM,Indian Trail,IT Main
0,4,5/3/2024,5:00 PM,Hillyard,HY North
21,37,5/3/2024,5:00 PM,Central,1st Floor Main Entrance
40,62,5/3/2024,4:00 PM,South Hill,SO Main
89,134,5/3/2024,4:00 PM,Shadle Park,SH East
32,59,5/3/2024,4:00 PM,Liberty Park,LP Main
12,11,5/3/2024,4:00 PM,Indian Trail,IT Main
8,16,5/3/2024,4:00 PM,Hillyard,HY North
96,219,5/3/2024,4:00 PM,Central,1st Floor Main Entrance
63,41,5/3/2024,3:00 PM,South Hill,SO Main
55,42,5/3/2024,3:00 PM,Shadle Park,SH East
36,48,5/3/2024,3:00 PM,Liberty Park,LP Main
19,14,5/3/2024,3:00 PM,Indian Trail,IT Main
73,79,5/3/2024,3:00 PM,Hillyard,HY North
151,162,5/3/2024,3:00 PM,Central,1st Floor Main Entrance
85,36,5/3/2024,2:00 PM,South Hill,SO Main
58,76,5/3/2024,2:00 PM,Shadle Park,SH East
47,47,5/3/2024,2:00 PM,Liberty Park,LP Main
12,14,5/3/2024,2:00 PM,Indian Trail,IT Main
34,22,5/3/2024,2:00 PM,Hillyard,HY North
146,158,5/3/2024,2:00 PM,Central,1st Floor Main Entrance
67,77,5/3/2024,1:00 PM,South Hill,SO Main
60,57,5/3/2024,1:00 PM,Shadle Park,SH East
31,28,5/3/2024,1:00 PM,Liberty Park,LP Main
19,17,5/3/2024,1:00 PM,Indian Trail,IT Main
21,20,5/3/2024,1:00 PM,Hillyard,HY North
120,147,5/3/2024,1:00 PM,Central,1st Floor Main Entrance
151,93,5/3/2024,12:00 PM,South Hill,SO Main
50,81,5/3/2024,12:00 PM,Shadle Park,SH East
31,58,5/3/2024,12:00 PM,Liberty Park,LP Main
22,25,5/3/2024,12:00 PM,Indian Trail,IT Main
22,29,5/3/2024,12:00 PM,Hillyard,HY North
145,170,5/3/2024,12:00 PM,Central,1st Floor Main Entrance
52,33,5/3/2024,11:00 AM,South Hill,SO Main
70,84,5/3/2024,11:00 AM,Shadle Park,SH East
36,39,5/3/2024,11:00 AM,Liberty Park,LP Main
25,27,5/3/2024,11:00 AM,Indian Trail,IT Main
22,23,5/3/2024,11:00 AM,Hillyard,HY North
108,174,5/3/2024,11:00 AM,Central,1st Floor Main Entrance
78,43,5/3/2024,10:00 AM,South Hill,SO Main
105,34,5/3/2024,10:00 AM,Shadle Park,SH East
60,32,5/3/2024,10:00 AM,Liberty Park,LP Main
19,8,5/3/2024,10:00 AM,Indian Trail,IT Main
33,16,5/3/2024,10:00 AM,Hillyard,HY North
180,124,5/3/2024,10:00 AM,Central,1st Floor Main Entrance
13,17,5/3/2024,9:00 AM,South Hill,SO Main
0,2,5/3/2024,9:00 AM,Shadle Park,SH West
10,7,5/3/2024,9:00 AM,Liberty Park,LP Main
17,10,5/3/2024,9:00 AM,Indian Trail,IT Main
14,22,5/3/2024,9:00 AM,Hillyard,HY North
98,59,5/3/2024,9:00 AM,Central,1st Floor Main Entrance
2,1,5/3/2024,8:00 AM,South Hill,SO Main
17,17,5/3/2024,8:00 AM,Shadle Park,SH East
11,9,5/3/2024,8:00 AM,Liberty Park,LP Main
7,4,5/3/2024,8:00 AM,Indian Trail,IT Main
82,68,5/3/2024,8:00 AM,Hillyard,HY North
42,40,5/3/2024,8:00 AM,Central,1st Floor Main Entrance
9,18,5/3/2024,7:00 AM,South Hill,SO Main
6,8,5/3/2024,7:00 AM,Liberty Park,LP Main
2,3,5/3/2024,7:00 AM,Indian Trail,IT Main
8,11,5/3/2024,7:00 AM,Central,1st Floor Main Entrance
1,0,5/3/2024,6:00 AM,Liberty Park,LP Main
1,1,5/3/2024,6:00 AM,Indian Trail,IT Main
1,1,5/3/2024,6:00 AM,Central,Basement Entrance
6,15,5/3/2024,5:00 AM,Central,1st Floor Main Entrance
0,3,5/2/2024,11:00 PM,Hillyard,HY South
5,14,5/2/2024,10:00 PM,Hillyard,HY North
4,1,5/2/2024,9:00 PM,Hillyard,HY South
4,16,5/2/2024,8:00 PM,Central,1st Floor Main Entrance
1,0,5/2/2024,7:00 PM,South Hill,SO Main
2,56,5/2/2024,7:00 PM,Liberty Park,LP Main
5,7,5/2/2024,7:00 PM,Hillyard,HY North
2,3,5/2/2024,7:00 PM,Central,2nd Floor Entrance
14,32,5/2/2024,6:00 PM,South Hill,SO Main
46,94,5/2/2024,6:00 PM,Shadle Park,SH East
19,41,5/2/2024,6:00 PM,Liberty Park,LP Main
15,18,5/2/2024,6:00 PM,Indian Trail,IT Main
13,18,5/2/2024,6:00 PM,Hillyard,HY North
50,124,5/2/2024,6:00 PM,Central,1st Floor Main Entrance
43,90,5/2/2024,5:00 PM,South Hill,SO Main
30,125,5/2/2024,5:00 PM,Shadle Park,SH East
58,29,5/2/2024,5:00 PM,Liberty Park,LP Main
18,22,5/2/2024,5:00 PM,Indian Trail,IT Main
16,20,5/2/2024,5:00 PM,Hillyard,HY North
98,157,5/2/2024,5:00 PM,Central,1st Floor Main Entrance
95,95,5/2/2024,4:00 PM,South Hill,SO Main
75,62,5/2/2024,4:00 PM,Shadle Park,SH East
23,46,5/2/2024,4:00 PM,Liberty Park,LP Main
25,40,5/2/2024,4:00 PM,Indian Trail,IT Main
25,41,5/2/2024,4:00 PM,Hillyard,HY North
93,135,5/2/2024,4:00 PM,Central,1st Floor Main Entrance
83,86,5/2/2024,3:00 PM,South Hill,SO Main
154,85,5/2/2024,3:00 PM,Shadle Park,SH East
33,35,5/2/2024,3:00 PM,Liberty Park,LP Main
40,19,5/2/2024,3:00 PM,Indian Trail,IT Main
60,53,5/2/2024,3:00 PM,Hillyard,HY North
174,224,5/2/2024,3:00 PM,Central,1st Floor Main Entrance
83,39,5/2/2024,2:00 PM,South Hill,SO Main
87,69,5/2/2024,2:00 PM,Shadle Park,SH East
43,39,5/2/2024,2:00 PM,Liberty Park,LP Main
23,15,5/2/2024,2:00 PM,Indian Trail,IT Main
23,29,5/2/2024,2:00 PM,Hillyard,HY North
138,181,5/2/2024,2:00 PM,Central,1st Floor Main Entrance
49,28,5/2/2024,1:00 PM,South Hill,SO Main
57,50,5/2/2024,1:00 PM,Shadle Park,SH East
36,38,5/2/2024,1:00 PM,Liberty Park,LP Main
13,16,5/2/2024,1:00 PM,Indian Trail,IT Main
19,42,5/2/2024,1:00 PM,Hillyard,HY North
172,164,5/2/2024,1:00 PM,Central,1st Floor Main Entrance
41,36,5/2/2024,12:00 PM,South Hill,SO Main
55,71,5/2/2024,12:00 PM,Shadle Park,SH East
43,59,5/2/2024,12:00 PM,Liberty Park,LP Main
14,18,5/2/2024,12:00 PM,Indian Trail,IT Main
54,40,5/2/2024,12:00 PM,Hillyard,HY North
148,193,5/2/2024,12:00 PM,Central,1st Floor Main Entrance
82,42,5/2/2024,11:00 AM,South Hill,SO Main
69,88,5/2/2024,11:00 AM,Shadle Park,SH East
27,37,5/2/2024,11:00 AM,Liberty Park,LP Main
18,21,5/2/2024,11:00 AM,Indian Trail,IT Main
26,37,5/2/2024,11:00 AM,Hillyard,HY North
121,154,5/2/2024,11:00 AM,Central,1st Floor Main Entrance
50,43,5/2/2024,10:00 AM,South Hill,SO Main
87,86,5/2/2024,10:00 AM,Shadle Park,SH East
51,50,5/2/2024,10:00 AM,Liberty Park,LP Main
22,14,5/2/2024,10:00 AM,Indian Trail,IT Main
47,36,5/2/2024,10:00 AM,Hillyard,HY North
112,85,5/2/2024,10:00 AM,Central,1st Floor Main Entrance
50,20,5/2/2024,9:00 AM,South Hill,SO Main
89,35,5/2/2024,9:00 AM,Shadle Park,SH East
64,29,5/2/2024,9:00 AM,Liberty Park,LP Main
22,12,5/2/2024,9:00 AM,Indian Trail,IT Main
55,32,5/2/2024,9:00 AM,Hillyard,HY North
146,96,5/2/2024,9:00 AM,Central,1st Floor Main Entrance
38,35,5/2/2024,8:00 AM,South Hill,SO Main
13,16,5/2/2024,8:00 AM,Liberty Park,LP Main
5,3,5/2/2024,8:00 AM,Indian Trail,IT Main
93,88,5/2/2024,8:00 AM,Hillyard,HY North
51,28,5/2/2024,8:00 AM,Central,1st Floor Main Entrance
42,22,5/2/2024,7:00 AM,South Hill,SO Main
9,15,5/2/2024,7:00 AM,Indian Trail,IT Main
3,11,5/2/2024,7:00 AM,Hillyard,HY South
11,9,5/2/2024,7:00 AM,Central,1st Floor Main Entrance
3,4,5/2/2024,6:00 AM,South Hill,SO Main
4,6,5/2/2024,6:00 AM,Indian Trail,IT Main
5,4,5/2/2024,6:00 AM,Central,Basement Entrance
8,9,5/2/2024,5:00 AM,Central,1st Floor Main Entrance
4,8,5/1/2024,11:00 PM,Hillyard,HY South
1,1,5/1/2024,10:00 PM,Hillyard,HY South
12,8,5/1/2024,9:00 PM,Hillyard,HY North
6,23,5/1/2024,8:00 PM,Central,1st Floor Main Entrance
1,4,5/1/2024,7:00 PM,Liberty Park,LP Main
1,2,5/1/2024,7:00 PM,Indian Trail,IT Main
0,2,5/1/2024,7:00 PM,Hillyard,HY North
4,6,5/1/2024,7:00 PM,Central,1st Floor Main Entrance
43,49,5/1/2024,6:00 PM,South Hill,SO Main
17,53,5/1/2024,6:00 PM,Shadle Park,SH East
30,67,5/1/2024,6:00 PM,Liberty Park,LP Main
18,28,5/1/2024,6:00 PM,Indian Trail,IT Main
11,24,5/1/2024,6:00 PM,Hillyard,HY North
74,136,5/1/2024,6:00 PM,Central,1st Floor Main Entrance
79,66,5/1/2024,5:00 PM,South Hill,SO Main
43,66,5/1/2024,5:00 PM,Shadle Park,SH East
37,46,5/1/2024,5:00 PM,Liberty Park,LP Main
13,13,5/1/2024,5:00 PM,Indian Trail,IT Main
21,27,5/1/2024,5:00 PM,Hillyard,HY North
102,105,5/1/2024,5:00 PM,Central,1st Floor Main Entrance
75,115,5/1/2024,4:00 PM,South Hill,SO Main
68,56,5/1/2024,4:00 PM,Shadle Park,SH East
45,46,5/1/2024,4:00 PM,Liberty Park,LP Main
22,25,5/1/2024,4:00 PM,Indian Trail,IT Main
47,43,5/1/2024,4:00 PM,Hillyard,HY North
120,132,5/1/2024,4:00 PM,Central,1st Floor Main Entrance
153,68,5/1/2024,3:00 PM,South Hill,SO Main
78,64,5/1/2024,3:00 PM,Shadle Park,SH East
46,43,5/1/2024,3:00 PM,Liberty Park,LP Main
28,33,5/1/2024,3:00 PM,Indian Trail,IT Main
51,37,5/1/2024,3:00 PM,Hillyard,HY North
112,195,5/1/2024,3:00 PM,Central,1st Floor Main Entrance
48,71,5/1/2024,2:00 PM,South Hill,SO Main
68,64,5/1/2024,2:00 PM,Shadle Park,SH East
38,38,5/1/2024,2:00 PM,Liberty Park,LP Main
20,12,5/1/2024,2:00 PM,Indian Trail,IT Main
23,24,5/1/2024,2:00 PM,Hillyard,HY North
166,198,5/1/2024,2:00 PM,Central,1st Floor Main Entrance
48,45,5/1/2024,1:00 PM,South Hill,SO Main
42,51,5/1/2024,1:00 PM,Shadle Park,SH East
33,32,5/1/2024,1:00 PM,Liberty Park,LP Main
14,7,5/1/2024,1:00 PM,Indian Trail,IT Main
26,31,5/1/2024,1:00 PM,Hillyard,HY North
153,285,5/1/2024,1:00 PM,Central,1st Floor Main Entrance
89,58,5/1/2024,12:00 PM,South Hill,SO Main
62,74,5/1/2024,12:00 PM,Shadle Park,SH East
21,22,5/1/2024,12:00 PM,Liberty Park,LP Main
17,13,5/1/2024,12:00 PM,Indian Trail,IT Main
19,19,5/1/2024,12:00 PM,Hillyard,HY North
133,163,5/1/2024,12:00 PM,Central,1st Floor Main Entrance
47,57,5/1/2024,11:00 AM,South Hill,SO Main
64,81,5/1/2024,11:00 AM,Shadle Park,SH East
33,40,5/1/2024,11:00 AM,Liberty Park,LP Main
23,44,5/1/2024,11:00 AM,Indian Trail,IT Main
21,32,5/1/2024,11:00 AM,Hillyard,HY North
231,118,5/1/2024,11:00 AM,Central,1st Floor Main Entrance
56,54,5/1/2024,10:00 AM,South Hill,SO Main
67,48,5/1/2024,10:00 AM,Shadle Park,SH East
82,99,5/1/2024,10:00 AM,Liberty Park,LP Main
48,41,5/1/2024,10:00 AM,Indian Trail,IT Main
54,52,5/1/2024,10:00 AM,Hillyard,HY North
123,135,5/1/2024,10:00 AM,Central,1st Floor Main Entrance
37,35,5/1/2024,9:00 AM,South Hill,SO Main
53,21,5/1/2024,9:00 AM,Shadle Park,SH East
69,25,5/1/2024,9:00 AM,Liberty Park,LP Main
38,12,5/1/2024,9:00 AM,Indian Trail,IT Main
35,18,5/1/2024,9:00 AM,Hillyard,HY North
121,82,5/1/2024,9:00 AM,Central,1st Floor Main Entrance
5,0,5/1/2024,8:00 AM,South Hill,SO Main
3,3,5/1/2024,8:00 AM,Shadle Park,SH East
15,12,5/1/2024,8:00 AM,Liberty Park,LP Main
2,5,5/1/2024,8:00 AM,Indian Trail,IT Main
21,23,5/1/2024,8:00 AM,Hillyard,HY North
79,64,5/1/2024,8:00 AM,Central,1st Floor Main Entrance
23,38,5/1/2024,7:00 AM,South Hill,SO Main
4,1,5/1/2024,7:00 AM,Liberty Park,LP Main
11,8,5/1/2024,7:00 AM,Indian Trail,IT Main
1,2,5/1/2024,7:00 AM,Hillyard,HY South
37,30,5/1/2024,7:00 AM,Central,1st Floor Main Entrance
1,4,5/1/2024,6:00 AM,South Hill,SO Main
2,1,5/1/2024,6:00 AM,Liberty Park,LP Main
4,7,5/1/2024,6:00 AM,Indian Trail,IT Main
17,20,5/1/2024,6:00 AM,Central,Basement Entrance
1,1,5/1/2024,5:00 AM,Indian Trail,IT Main
11,6,5/1/2024,5:00 AM,Central,Basement Entrance
0,2,4/30/2024,11:00 PM,Hillyard,HY South
10,9,4/30/2024,10:00 PM,Hillyard,HY North
5,3,4/30/2024,9:00 PM,Hillyard,HY South
1,1,4/30/2024,7:00 PM,South Hill,SO Main
1,6,4/30/2024,7:00 PM,Liberty Park,LP Main
2,1,4/30/2024,7:00 PM,Hillyard,HY North
4,8,4/30/2024,7:00 PM,Central,2nd Floor Entrance
14,31,4/30/2024,6:00 PM,South Hill,SO Main
75,79,4/30/2024,6:00 PM,Shadle Park,SH East
21,42,4/30/2024,6:00 PM,Liberty Park,LP Main
15,22,4/30/2024,6:00 PM,Indian Trail,IT Main
7,16,4/30/2024,6:00 PM,Hillyard,HY North
70,184,4/30/2024,6:00 PM,Central,1st Floor Main Entrance
88,80,4/30/2024,5:00 PM,South Hill,SO Main
62,65,4/30/2024,5:00 PM,Shadle Park,SH East
52,69,4/30/2024,5:00 PM,Liberty Park,LP Main
26,23,4/30/2024,5:00 PM,Indian Trail,IT Main
22,38,4/30/2024,5:00 PM,Hillyard,HY North
107,123,4/30/2024,5:00 PM,Central,1st Floor Main Entrance
73,91,4/30/2024,4:00 PM,South Hill,SO Main
59,72,4/30/2024,4:00 PM,Shadle Park,SH East
38,52,4/30/2024,4:00 PM,Liberty Park,LP Main
29,27,4/30/2024,4:00 PM,Indian Trail,IT Main
29,37,4/30/2024,4:00 PM,Hillyard,HY North
145,147,4/30/2024,4:00 PM,Central,1st Floor Main Entrance
64,49,4/30/2024,3:00 PM,South Hill,SO Main
65,81,4/30/2024,3:00 PM,Shadle Park,SH East
37,29,4/30/2024,3:00 PM,Liberty Park,LP Main
38,27,4/30/2024,3:00 PM,Indian Trail,IT Main
53,50,4/30/2024,3:00 PM,Hillyard,HY North
121,153,4/30/2024,3:00 PM,Central,1st Floor Main Entrance
32,38,4/30/2024,2:00 PM,South Hill,SO Main
66,72,4/30/2024,2:00 PM,Shadle Park,SH East
38,68,4/30/2024,2:00 PM,Liberty Park,LP Main
21,26,4/30/2024,2:00 PM,Indian Trail,IT Main
26,18,4/30/2024,2:00 PM,Hillyard,HY North
107,174,4/30/2024,2:00 PM,Central,1st Floor Main Entrance
54,50,4/30/2024,1:00 PM,South Hill,SO Main
75,83,4/30/2024,1:00 PM,Shadle Park,SH East
47,42,4/30/2024,1:00 PM,Liberty Park,LP Main
11,10,4/30/2024,1:00 PM,Indian Trail,IT Main
28,39,4/30/2024,1:00 PM,Hillyard,HY North
143,162,4/30/2024,1:00 PM,Central,1st Floor Main Entrance
57,57,4/30/2024,12:00 PM,South Hill,SO Main
83,77,4/30/2024,12:00 PM,Shadle Park,SH East
54,41,4/30/2024,12:00 PM,Liberty Park,LP Main
28,28,4/30/2024,12:00 PM,Indian Trail,IT Main
126,117,4/30/2024,12:00 PM,Hillyard,HY North
102,123,4/30/2024,12:00 PM,Central,1st Floor Main Entrance
76,129,4/30/2024,11:00 AM,South Hill,SO Main
60,126,4/30/2024,11:00 AM,Shadle Park,SH East
46,91,4/30/2024,11:00 AM,Liberty Park,LP Main
43,48,4/30/2024,11:00 AM,Indian Trail,IT Main
66,51,4/30/2024,11:00 AM,Hillyard,HY North
118,131,4/30/2024,11:00 AM,Central,1st Floor Main Entrance
98,55,4/30/2024,10:00 AM,South Hill,SO Main
112,82,4/30/2024,10:00 AM,Shadle Park,SH East
76,82,4/30/2024,10:00 AM,Liberty Park,LP Main
58,71,4/30/2024,10:00 AM,Indian Trail,IT Main
31,38,4/30/2024,10:00 AM,Hillyard,HY North
92,86,4/30/2024,10:00 AM,Central,1st Floor Main Entrance
116,32,4/30/2024,9:00 AM,South Hill,SO Main
81,22,4/30/2024,9:00 AM,Shadle Park,SH East
67,14,4/30/2024,9:00 AM,Liberty Park,LP Main
49,16,4/30/2024,9:00 AM,Indian Trail,IT Main
58,32,4/30/2024,9:00 AM,Hillyard,HY North
173,107,4/30/2024,9:00 AM,Central,1st Floor Main Entrance
5,4,4/30/2024,8:00 AM,South Hill,SO Main
6,10,4/30/2024,8:00 AM,Shadle Park,SH East
7,2,4/30/2024,8:00 AM,Liberty Park,LP Main
5,3,4/30/2024,8:00 AM,Indian Trail,IT Main
87,78,4/30/2024,8:00 AM,Hillyard,HY North
40,38,4/30/2024,8:00 AM,Central,1st Floor Main Entrance
10,1,4/30/2024,7:00 AM,South Hill,SO Main
10,10,4/30/2024,7:00 AM,Liberty Park,LP Main
11,6,4/30/2024,7:00 AM,Indian Trail,IT Main
4,1,4/30/2024,7:00 AM,Hillyard,HY North
10,6,4/30/2024,7:00 AM,Central,Basement Entrance
20,50,4/30/2024,6:00 AM,South Hill,SO Main
9,9,4/30/2024,6:00 AM,Liberty Park,LP Main
5,10,4/30/2024,6:00 AM,Indian Trail,IT Main
7,5,4/30/2024,6:00 AM,Central,1st Floor NW Entrance
8,7,4/30/2024,5:00 AM,Central,Basement Entrance
1,4,4/29/2024,11:00 PM,Hillyard,HY South
11,7,4/29/2024,10:00 PM,Hillyard,HY North
3,1,4/29/2024,9:00 PM,Hillyard,HY South
1,0,4/29/2024,7:00 PM,South Hill,SO Main
0,1,4/29/2024,7:00 PM,Shadle Park,SH East
0,4,4/29/2024,7:00 PM,Liberty Park,LP Main
2,0,4/29/2024,7:00 PM,Indian Trail,IT Main
0,4,4/29/2024,7:00 PM,Hillyard,HY North
8,17,4/29/2024,7:00 PM,Central,1st Floor Main Entrance
32,68,4/29/2024,6:00 PM,South Hill,SO Main
22,56,4/29/2024,6:00 PM,Shadle Park,SH East
26,48,4/29/2024,6:00 PM,Liberty Park,LP Main
9,21,4/29/2024,6:00 PM,Indian Trail,IT Main
7,17,4/29/2024,6:00 PM,Hillyard,HY North
65,149,4/29/2024,6:00 PM,Central,1st Floor Main Entrance
32,49,4/29/2024,5:00 PM,South Hill,SO Main
58,61,4/29/2024,5:00 PM,Shadle Park,SH East
46,69,4/29/2024,5:00 PM,Liberty Park,LP Main
18,17,4/29/2024,5:00 PM,Indian Trail,IT Main
26,31,4/29/2024,5:00 PM,Hillyard,HY North
84,106,4/29/2024,5:00 PM,Central,1st Floor Main Entrance
81,43,4/29/2024,4:00 PM,South Hill,SO Main
55,59,4/29/2024,4:00 PM,Shadle Park,SH East
31,30,4/29/2024,4:00 PM,Liberty Park,LP Main
27,31,4/29/2024,4:00 PM,Indian Trail,IT Main
39,53,4/29/2024,4:00 PM,Hillyard,HY North
123,159,4/29/2024,4:00 PM,Central,1st Floor Main Entrance
82,112,4/29/2024,3:00 PM,South Hill,SO Main
69,69,4/29/2024,3:00 PM,Shadle Park,SH East
39,40,4/29/2024,3:00 PM,Liberty Park,LP Main
20,18,4/29/2024,3:00 PM,Indian Trail,IT Main
68,69,4/29/2024,3:00 PM,Hillyard,HY North
122,175,4/29/2024,3:00 PM,Central,1st Floor Main Entrance
67,51,4/29/2024,2:00 PM,South Hill,SO Main
80,82,4/29/2024,2:00 PM,Shadle Park,SH East
19,41,4/29/2024,2:00 PM,Liberty Park,LP Main
15,18,4/29/2024,2:00 PM,Indian Trail,IT Main
63,43,4/29/2024,2:00 PM,Hillyard,HY North
104,146,4/29/2024,2:00 PM,Central,1st Floor Main Entrance
40,49,4/29/2024,1:00 PM,South Hill,SO Main
75,81,4/29/2024,1:00 PM,Shadle Park,SH East
41,36,4/29/2024,1:00 PM,Liberty Park,LP Main
18,17,4/29/2024,1:00 PM,Indian Trail,IT Main
119,128,4/29/2024,1:00 PM,Hillyard,HY North
179,252,4/29/2024,1:00 PM,Central,1st Floor Main Entrance
53,60,4/29/2024,12:00 PM,South Hill,SO Main
81,82,4/29/2024,12:00 PM,Shadle Park,SH East
42,25,4/29/2024,12:00 PM,Liberty Park,LP Main
24,17,4/29/2024,12:00 PM,Indian Trail,IT Main
109,88,4/29/2024,12:00 PM,Hillyard,HY North
204,201,4/29/2024,12:00 PM,Central,1st Floor Main Entrance
73,100,4/29/2024,11:00 AM,South Hill,SO Main
80,88,4/29/2024,11:00 AM,Shadle Park,SH East
19,54,4/29/2024,11:00 AM,Liberty Park,LP Main
21,32,4/29/2024,11:00 AM,Indian Trail,IT Main
67,59,4/29/2024,11:00 AM,Hillyard,HY North
193,236,4/29/2024,11:00 AM,Central,1st Floor Main Entrance
106,93,4/29/2024,10:00 AM,South Hill,SO Main
95,76,4/29/2024,10:00 AM,Shadle Park,SH East
37,33,4/29/2024,10:00 AM,Liberty Park,LP Main
35,26,4/29/2024,10:00 AM,Indian Trail,IT Main
65,38,4/29/2024,10:00 AM,Hillyard,HY North
244,209,4/29/2024,10:00 AM,Central,1st Floor Main Entrance
147,32,4/29/2024,9:00 AM,South Hill,SO Main
76,34,4/29/2024,9:00 AM,Shadle Park,SH East
35,9,4/29/2024,9:00 AM,Liberty Park,LP Main
21,10,4/29/2024,9:00 AM,Indian Trail,IT Main
89,88,4/29/2024,9:00 AM,Hillyard,HY North
158,100,4/29/2024,9:00 AM,Central,1st Floor Main Entrance
14,19,4/29/2024,8:00 AM,South Hill,SO Main
0,1,4/29/2024,8:00 AM,Shadle Park,SH West
3,4,4/29/2024,8:00 AM,Liberty Park,LP Main
8,11,4/29/2024,8:00 AM,Indian Trail,IT Main
10,10,4/29/2024,8:00 AM,Hillyard,HY North
39,43,4/29/2024,8:00 AM,Central,1st Floor Main Entrance
43,12,4/29/2024,7:00 AM,South Hill,SO Main
10,14,4/29/2024,7:00 AM,Shadle Park,SH East
19,18,4/29/2024,7:00 AM,Indian Trail,IT Main
10,13,4/29/2024,7:00 AM,Hillyard,HY North
13,11,4/29/2024,7:00 AM,Central,1st Floor Main Entrance
2,1,4/29/2024,6:00 AM,South Hill,SO Main
16,51,4/29/2024,6:00 AM,Shadle Park,SH East
12,11,4/29/2024,6:00 AM,Liberty Park,LP Main
3,4,4/29/2024,6:00 AM,Indian Trail,IT Main
1,3,4/29/2024,6:00 AM,Hillyard,HY South
3,2,4/29/2024,6:00 AM,Central,Basement Entrance
2,0,4/29/2024,5:00 AM,Liberty Park,LP Main
7,0,4/29/2024,5:00 AM,Hillyard,HY North
5,4,4/29/2024,5:00 AM,Central,Basement Entrance
5,4,4/28/2024,7:00 PM,Central,1st Floor Main Entrance
7,54,4/28/2024,6:00 PM,Central,1st Floor Main Entrance
7,21,4/28/2024,5:00 PM,Central,1st Floor Main Entrance
0,1,4/28/2024,4:00 PM,South Hill,SO Main
1,5,4/28/2024,4:00 PM,Liberty Park,LP Main
3,4,4/28/2024,4:00 PM,Indian Trail,IT Main
0,2,4/28/2024,4:00 PM,Hillyard,HY North
64,41,4/28/2024,4:00 PM,Central,1st Floor Main Entrance
108,109,4/28/2024,3:00 PM,South Hill,SO Main
60,115,4/28/2024,3:00 PM,Shadle Park,SH East
25,64,4/28/2024,3:00 PM,Liberty Park,LP Main
18,29,4/28/2024,3:00 PM,Indian Trail,IT Main
8,24,4/28/2024,3:00 PM,Hillyard,HY North
76,161,4/28/2024,3:00 PM,Central,1st Floor Main Entrance
72,75,4/28/2024,2:00 PM,South Hill,SO Main
59,86,4/28/2024,2:00 PM,Shadle Park,SH East
49,77,4/28/2024,2:00 PM,Liberty Park,LP Main
24,18,4/28/2024,2:00 PM,Indian Trail,IT Main
14,14,4/28/2024,2:00 PM,Hillyard,HY North
130,115,4/28/2024,2:00 PM,Central,1st Floor Main Entrance
80,42,4/28/2024,1:00 PM,South Hill,SO Main
83,76,4/28/2024,1:00 PM,Shadle Park,SH East
65,82,4/28/2024,1:00 PM,Liberty Park,LP Main
28,22,4/28/2024,1:00 PM,Indian Trail,IT Main
13,5,4/28/2024,1:00 PM,Hillyard,HY North
106,100,4/28/2024,1:00 PM,Central,1st Floor Main Entrance
77,55,4/28/2024,12:00 PM,South Hill,SO Main
125,63,4/28/2024,12:00 PM,Shadle Park,SH East
79,43,4/28/2024,12:00 PM,Liberty Park,LP Main
23,20,4/28/2024,12:00 PM,Indian Trail,IT Main
19,14,4/28/2024,12:00 PM,Hillyard,HY North
126,72,4/28/2024,12:00 PM,Central,1st Floor Main Entrance
51,19,4/28/2024,11:00 AM,South Hill,SO Main
0,1,4/28/2024,11:00 AM,Shadle Park,SH West
3,0,4/28/2024,11:00 AM,Liberty Park,LP Main
1,2,4/28/2024,11:00 AM,Indian Trail,IT Main
33,15,4/28/2024,11:00 AM,Central,1st Floor Main Entrance
0,5,4/28/2024,10:00 AM,South Hill,SO Main
1,0,4/28/2024,10:00 AM,Indian Trail,IT Main
6,7,4/28/2024,9:00 AM,South Hill,SO Main
4,5,4/28/2024,9:00 AM,Liberty Park,LP Main
2,4,4/28/2024,9:00 AM,Indian Trail,IT Main
3,3,4/28/2024,9:00 AM,Central,Basement Entrance
5,1,4/28/2024,8:00 AM,South Hill,SO Main
1,4,4/28/2024,8:00 AM,Liberty Park,LP Main
30,13,4/28/2024,8:00 AM,Indian Trail,IT Main
1,3,4/28/2024,8:00 AM,Central,Basement Entrance
2,0,4/28/2024,7:00 AM,South Hill,SO Main
5,5,4/28/2024,7:00 AM,Liberty Park,LP Main
2,4,4/28/2024,7:00 AM,Indian Trail,IT Main
2,3,4/28/2024,7:00 AM,Central,Basement Entrance
28,8,4/28/2024,6:00 AM,South Hill,SO Main
3,3,4/28/2024,6:00 AM,Indian Trail,IT Main
0,1,4/28/2024,6:00 AM,Hillyard,HY North
3,2,4/28/2024,6:00 AM,Central,Basement Entrance
3,3,4/28/2024,5:00 AM,Shadle Park,SH East
2,5,4/28/2024,3:00 AM,Hillyard,HY North
3,5,4/27/2024,11:00 PM,Central,Basement Entrance
51,102,4/27/2024,10:00 PM,Central,1st Floor Main Entrance
25,34,4/27/2024,9:00 PM,Central,1st Floor Main Entrance
39,69,4/27/2024,8:00 PM,Central,1st Floor Main Entrance
73,48,4/27/2024,7:00 PM,Central,1st Floor Main Entrance
63,37,4/27/2024,6:00 PM,Central,1st Floor Main Entrance
2,6,4/27/2024,5:00 PM,South Hill,SO Main
6,17,4/27/2024,5:00 PM,Shadle Park,SH East
3,12,4/27/2024,5:00 PM,Liberty Park,LP Main
5,7,4/27/2024,5:00 PM,Indian Trail,IT Main
